age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Assoc-acdm,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,Black,Male,Full-time,>50K
Mid-adult,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Female,Part-time,>50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Young-adult,Self-emp-not-inc,Middle,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Sales,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,Black,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Female,Middle,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Assoc-acdm,Married-civ-spouse,Sales,Partner,Black,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Female,Middle,>50K
Mid-adult,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Partner,Black,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Female,Full-time,>50K
Mid-adult,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Female,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,Asian-Pac-Islander,Male,Insanity,>50K
Middle-age,Private,Elementary,Married-civ-spouse,Transport-moving,Partner,Amer-Indian-Eskimo,Male,Full-time,<=50K
Young-adult,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Senior,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Tech-support,Partner,White,Female,Middle,>50K
Senior,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Middle,>50K
Middle-age,Private,Doctorate,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Young-adult,Federal-gov,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Middle,<=50K
Middle-age,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,<=50K
Middle-age,State-gov,Some-college,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Young-adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Partner,Black,Male,Middle,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,Black,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Middle,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Masters,Married-civ-spouse,Sales,Partner,White,Female,Middle,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Insanity,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Middle,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Mid-adult,Private,Doctorate,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Middle,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,<=50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Young-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,<=50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Part-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,<=50K
Senior,Private,Prof-school,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Senior,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Tech-support,Partner,White,Female,Full-time,>50K
Middle-age,Self-emp-not-inc,Doctorate,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Insanity,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Other-service,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Middle-age,Private,HS,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Middle,Married-civ-spouse,Craft-repair,Partner,Black,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Middle,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Partner,Asian-Pac-Islander,Female,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Insanity,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Mid-adult,Federal-gov,Bachelors,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Female,Insanity,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Partner,White,Female,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Tech-support,Partner,White,Male,Full-time,>50K
Middle-age,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Middle,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Elementary,Married-civ-spouse,Exec-managerial,Partner,White,Male,Insanity,>50K
Mid-adult,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Partner,Black,Male,Full-time,>50K
Mid-adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,Asian-Pac-Islander,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Young-adult,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Insanity,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Part-time,>50K
Middle-age,Federal-gov,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Tech-support,Partner,Black,Male,Full-time,>50K
Young-adult,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Female,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Insanity,>50K
Middle-age,Local-gov,Some-college,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Insanity,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Young-adult,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,Black,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,Black,Male,Full-time,>50K
Mid-adult,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,Black,Female,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Senior,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,HS-grad,Married-civ-spouse,Tech-support,Partner,White,Female,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Young-adult,Private,Bachelors,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Partner,White,Female,Full-time,>50K
Mid-adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Partner,White,Male,Full-time,>50K
Young-adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Middle,>50K
Mid-adult,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Young-adult,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Masters,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Doctorate,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,HS-grad,Married-civ-spouse,Transport-moving,Partner,Black,Male,Full-time,>50K
Middle-age,Private,Some-college,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Female,Middle,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS,Married-civ-spouse,Machine-op-inspct,Partner,Black,Male,Full-time,>50K
Young-adult,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Partner,White,Male,Insanity,>50K
Mid-adult,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Young-adult,Private,Bachelors,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,Masters,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Middle-age,Private,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Partner,Black,Female,Full-time,>50K
Middle-age,Federal-gov,Masters,Married-civ-spouse,Armed-Forces,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Partner,White,Male,Full-time,>50K
Mid-adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Partner,White,Male,Full-time,>50K
Mid-adult,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Partner,White,Male,Full-time,>50K
Senior,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Partner,White,Male,Full-time,>50K
Mid-adult,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Partner,White,Female,Middle,>50K
Middle-age,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Partner,White,Male,Full-time,>50K
Middle-age,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Partner,White,Male,Full-time,>50K
